Частота (Гц)	Уровень (дБ)
62,500000	-108,223557
125,000000	-107,825020
187,500000	-107,193588
250,000000	-106,362846
312,500000	-105,360176
375,000000	-104,218750
437,500000	-102,952751
500,000000	-101,571892
562,500000	-100,086838
625,000000	-98,490501
687,500000	-96,778343
750,000000	-94,938660
812,500000	-92,955009
875,000000	-90,804764
937,500000	-88,459404
1000,000000	-85,879631
1062,500000	-83,012627
1125,000000	-79,784889
1187,500000	-76,089706
1250,000000	-71,763786
1312,500000	-66,538132
1375,000000	-59,915764
1437,500000	-50,782555
1500,000000	-35,212311
1562,500000	-19,317461
1625,000000	-18,176311
1687,500000	-29,985836
1750,000000	-48,770031
1812,500000	-58,818947
1875,000000	-65,960876
1937,500000	-71,556519
2000,000000	-76,179016
2062,500000	-80,129410
2125,000000	-83,587685
2187,500000	-86,669060
2250,000000	-89,453300
2312,500000	-91,997299
2375,000000	-94,342430
2437,500000	-96,517357
2500,000000	-98,545334
2562,500000	-100,436684
2625,000000	-102,189980
2687,500000	-103,757874
2750,000000	-104,998688
2812,500000	-105,447449
2875,000000	-104,072868
2937,500000	-99,861115
3000,000000	-92,674171
3062,500000	-81,609299
3125,000000	-56,964268
3187,500000	-48,335617
3250,000000	-51,798470
3312,500000	-74,021362
3375,000000	-87,361076
3437,500000	-95,678825
3500,000000	-101,810616
3562,500000	-106,667953
3625,000000	-110,676773
3687,500000	-114,067001
3750,000000	-116,946068
3812,500000	-119,373886
3875,000000	-121,296265
3937,500000	-122,593803
